Unicode	input code	full code
1720A	smtn	smlebtxnn
1720B	sjvp	sjvclxp
1720C	shwx	shwclx
1720D	shlw	sholsyw
1720E	sali	salldjpi
1720F	sxyu	sxycbqu
17210	stbp	stbap
17211	scqx	scbqsx
17212	ssxx	ssxrx
17213	snql	snqmzmlll
17214	snlw	snlllsyw
17215	smts	smlebtxs
17216	smlo	smnlllao
17217	shll	sholahol
17218	shtw	shhbtsyw
17219	savx	savtlx
1721A	sfwx	sfbwwx
1721B	sfwx	sfbwyx
1721C	srxo	srtjxo
1721D	ssvp	ssnvtlxp
1721E	snau	sntambtmu
1721F	slha	slhanta
17220	seyp	seymbxip
17221	stjb	stjmbsmb
17222	sssu	ssslxmbtmu
17223	ssxx	ssxasx
17224	sasu	sasxcbqu
17225	stja	stjavsma
17226	smax	smbatlx
17227	smaw	smbasyw
17228	srxm	srxmtbam
17229	fnq	fnq
1722A	fcsi	fcsi
1722B	fsmb	fsmb
1722C	fsx	fsx
1722D	fme	fme
1722E	fmst	fmsbt
1722F	fmsu	fmsbtu
17230	frx	frx
17231	fnqp	fnqp
17232	fzp	fzp
17233	fzdq	fzdq
17234	fefb	fefb
17235	fmyp	fmyxp
17236	fybi	fybjpi
17237	fasq	fasq
17238	faib	faiymb
17239	fzcw	fzcmbw
1723A	fntx	fntwbsx
1723B	nvy	nnnvy
1723C	nva	nnva
1723D	nvnjn	nnnvnnjnnn
1723E	nvyx	nnnvyx
1723F	nvclx	nnvclx
17240	nvrx	nnvrx
17241	nvmeu	nnvmlebtu
17242	nvmju	nnvmtjbtu
17243	nvchk	nnvchqk
17244	nvmbd	nnvmbzd
17245	nvzal	nnvzal
17246	nvrtx	nnnvrbtmx
17247	nvmtm	nnnvmtbam
17248	nvmti	nnvmtbai
17249	nvfbi	nnvfgbai
1724A	nvfbz	nnvfgbz
1724B	ss	ss
1724C	sbtu	sbtu
1724D	smbt	smbt
1724E	syb	syb
1724F	smle	smlne
17250	slqj	slqj
17251	sla	sla
17252	slys	slys
17253	slsb	slsb
17254	sai	sai
17255	sz	sz
17256	sfd	sfd
17257	srll	srll
17258	ssbt	ssbt
17259	ssvs	ssnvs
1725A	szll	szlll
1725B	sqjs	sqjs
1725C	smtp	smbtp
1725D	slht	slhhbt
1725E	slfd	slfd
1725F	slrk	slrk
17260	stls	stls
17261	sckk	sckk
17262	srx	srx
17263	ssbp	ssbp
17264	snql	snlql
17265	sttf	sttf
17266	stbp	stbp
17267	srbw	srbw
17268	sczl	sczlll
17269	sssl	sssbl
1726A	sqjq	sqjnq
1726B	syws	sybws
1726C	ste	ste
1726D	ssba	ssba
1726E	svdj	svdtj
1726F	seru	serbtu
17270	stjw	stjmbw
17271	sayr	sayr
17272	ssty	ssbty
17273	srtx	srtjx
17274	sstr	ssbtcr
17275	ssbi	ssbtpi
17276	sywb	sybwmsb
17277	ssba	ssbmbua
17278	eonn	eonnn
17279	ems	ems
1727A	eo	eo
1727B	esnn	esnn
1727C	enll	enll
1727D	ews	ews
1727E	ey	ey
1727F	emle	emle
17280	ebqu	ebqu
17281	eys	eys
17282	enq	enq
17283	ewx	ewx
17284	eox	eox
17285	emeu	emleu
17286	emxl	emxl
17287	emsb	emsb
17288	emsp	emsp
17289	ebqj	ebqj
1728A	ehht	ehhbt
1728B	eann	eannn
1728C	ez	ez
1728D	eyo	eyo
1728E	eyr	eyr
1728F	eyx	eyx
17290	etj	etj
17291	esx	esx
17292	enw	enw
17293	esbu	esbtu
17294	ezq	ezq
17295	emal	emal
17296	elwx	elwx
17297	elml	elmxl
17298	ells	ellcs
17299	elht	elhhbt
1729A	elha	elha
1729B	elsx	elsx
1729C	efmb	efmb
1729D	eclx	eclx
1729E	eca	eca
1729F	eckp	eckp
172A0	ecsb	ecsb
172A1	erx	erx
172A2	edkp	edjkp
172A3	esbw	esbw
172A4	esxv	esxv
172A5	efjq	efjdq
172A6	eqjo	eqjo
172A7	ewbo	ewbo
172A8	ewct	ewcbt
172A9	eoyb	eoymb
172AA	emba	emba
172AB	ejvs	ejvws
172AC	eydn	eydxnn
172AD	elli	elldjpi
172AE	elcx	elclx
172AF	ebqo	ebqo
172B0	elsa	elsa
172B1	ehla	ehlla
172B2	exmt	exmbt
172B3	ecsp	ecmsp
172B4	ectp	ecbtp
172B5	esmx	esmlx
172B6	esmi	esmxi
172B7	esbv	esbjv
172B8	esbo	esbo
172B9	esxp	esxp
172BA	entb	entmb
172BB	efsu	efsbtu
172BC	enlj	enllqj
172BD	eibu	eibu
172BE	ewwp	ewwbp
172BF	eqjr	eqjmr
172C0	ewba	ewba
172C1	emey	emley
172C2	esda	esda
172C3	esdq	esdnq
172C4	eldi	eldxi
172C5	ellw	ellsbw
172C6	ebqp	ebqsp
172C7	ebqq	ebqnq
172C8	ebqx	ebqnx
172C9	ehto	ehhbto
172CA	eabu	eabqu
172CB	eaio	eaio
172CC	ecsl	ecwsll
172CD	efbm	efbmtm
172CE	eckl	eckwll
172CF	ecsb	ecssb
172D0	esbp	esmlbp
172D1	esbp	esqbp
172D2	esba	esba
172D3	esub	esbuyb
172D4	enlx	enllsx
172D5	enqy	ennqy
172D6	emua	embua
172D7	esdb	esdmsb
172D8	ebqx	ebqwx
172D9	ehle	ehllme
172DA	ehlk	ehllymnk
172DB	eabj	eabqj
172DC	eatj	eatj
172DD	east	easbt
172DE	eylx	eylrx
172DF	etba	etba
172E0	efbo	efmbo
172E1	eclp	ecllmsp
172E2	efbw	efbw
172E3	ecta	ecbta
172E4	ercx	erocx
172E5	esmb	esmsyb
172E6	esma	esmvla
172E7	esbl	esbal
172E8	esbl	esbal
172E9	eszp	eszp
172EA	enbp	entmbp
172EB	entj	entbqj
172EC	entt	enthhbt
172ED	entm	entntm
172EE	enlk	enllhqk
172EF	enjw	ennjlmw
172F0	ezla	ezllla
172F1	eqji	eqjtpi
